f1,v1,f2,v2,f3,v3,f4,v4,a1,a2,a3
-1,0,0,0,0,0,0,0,4,7,-4
0,0,0,0,0,0,0,0,9,15,-9
0,0,0,0,0,0,0,0,13,22,-14
0,0,1,0,0,0,0,0,18,30,-19
-1,0,0,0,0,0,0,0,22,38,-23
0,0,0,0,0,0,0,0,27,46,-28
-1,0,0,0,1,0,0,0,32,53,-33
-1,0,0,0,1,0,0,0,32,53,-33
-1,0,0,0,0,0,0,0,41,69,-43
0,0,0,0,-1,0,0,0,45,76,-48
-1,0,0,0,1,0,0,0,45,76,-48
0,0,1,0,1,0,0,0,46,76,-48
0,0,1,0,1,0,0,0,46,76,-48
-1,0,1,0,0,0,0,0,45,76,-48
0,0,0,0,0,0,0,0,45,76,-48
0,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
0,0,0,0,0,0,0,0,46,76,-47
0,0,0,0,0,0,0,0,46,76,-47
0,0,0,0,0,0,0,0,46,76,-47
-1,0,0,0,0,0,0,0,46,76,-47
-1,0,0,0,0,0,0,0,46,76,-47
-1,0,1,0,0,0,0,0,46,76,-47
-1,0,1,0,0,0,0,0,46,76,-47
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,1,0,0,0,46,76,-48
-1,0,0,0,1,0,0,0,46,76,-48
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,1,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,75,-48
-1,0,0,0,0,0,0,0,45,75,-48
0,0,0,0,0,0,0,0,45,75,-48
-1,0,0,0,0,0,0,0,45,76,-48
0,0,1,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,45,76,-48
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,0,0,0,0,46,76,-48
-1,0,0,0,1,0,-1,0,46,76,-48
-1,0,1,0,0,0,-1,0,45,76,-48
-1,0,1,0,1,0,-1,0,45,75,-48
-1,0,1,0,0,0,-1,0,45,75,-48
-1,0,0,0,1,0,-1,0,45,75,-48
-1,0,0,0,0,0,-2,0,45,75,-48
-1,0,0,0,1,0,-2,0,45,76,-48
-1,0,1,0,0,0,-2,0,45,76,-48
-1,0,1,0,0,0,-2,0,45,77,-48
-1,0,0,0,0,0,-2,0,45,77,-48
-1,0,0,0,0,0,-3,0,45,78,-48
-1,0,0,0,0,0,-2,0,44,78,-48
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-46
-1,0,0,0,0,0,-2,0,44,78,-46
-1,0,0,0,0,0,-2,0,44,78,-46
-1,0,0,0,0,0,-2,0,44,77,-46
-1,0,0,0,0,0,-2,0,44,77,-46
-1,0,0,0,0,0,-2,0,43,77,-47
-1,0,0,0,0,0,-2,0,43,77,-48
-1,0,0,0,0,0,-2,0,43,77,-48
-2,0,0,0,0,0,-3,0,43,77,-48
-2,0,0,0,1,0,-2,0,43,77,-48
-1,0,0,0,0,0,-2,0,44,77,-48
-1,0,0,0,0,0,-2,0,44,77,-48
-1,0,0,0,0,0,-2,0,44,78,-48
-1,0,0,0,0,0,-2,0,44,78,-48
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,45,77,-47
-1,0,0,0,0,0,-2,0,45,77,-47
-2,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-2,0,0,0,0,0,-2,0,44,77,-47
-2,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-48
-1,0,0,0,0,0,-2,0,44,77,-48
-2,0,0,0,0,0,-2,0,44,77,-48
-2,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-1,0,0,0,0,0,-2,0,44,77,-47
-2,0,0,0,0,0,-3,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-47
-1,0,0,0,0,0,-2,0,44,78,-47
-2,0,0,0,0,0,-2,0,44,78,-47
-2,0,0,0,0,0,-2,0,44,78,-46
2,0,0,0,0,0,-3,0,44,77,-46
-2,0,0,0,0,0,-2,0,44,77,-46
-2,0,0,0,0,0,-3,0,44,77,-47
-2,0,0,0,0,0,-2,0,44,78,-47
-2,0,0,0,0,0,-3,0,44,78,-47
-2,0,0,0,0,0,-2,0,44,78,-47
-2,0,0,0,0,0,-2,0,44,78,-47
-2,0,0,0,1,0,-2,0,43,78,-47
-2,0,0,0,0,0,-2,0,43,77,-47
-3,0,0,0,0,0,-3,0,43,77,-47
-3,0,0,0,0,0,-3,0,43,77,-47
-3,0,0,0,0,0,-3,0,43,78,-47
-3,0,0,0,0,0,-2,0,43,78,-47
-4,0,0,0,0,0,-2,0,43,78,-47
-4,0,1,0,1,0,-3,0,43,78,-46
-4,0,1,0,1,0,-3,0,43,78,-46
-5,0,1,0,0,0,-3,0,42,78,-46
-6,0,1,0,0,0,-3,0,43,78,-45
-6,0,1,0,0,0,-3,0,43,78,-45
-7,0,1,0,1,0,-3,0,43,80,-45
-8,0,3,0,1,0,-3,0,43,81,-45
-8,0,8,1,1,0,-2,0,43,82,-45
-8,0,15,1,3,0,-2,0,43,83,-45
-7,0,23,4,6,1,-1,0,43,83,-44
-7,0,23,4,6,1,-1,0,43,83,-44
1,1,49,8,12,2,5,1,42,83,-43
11,3,63,9,18,3,9,2,42,83,-43
25,6,78,9,24,3,14,2,42,83,-43
43,9,91,11,31,4,20,3,42,83,-42
62,12,103,10,38,5,31,5,41,83,-42
79,13,113,10,48,6,41,6,41,84,-41
94,13,121,8,57,6,53,7,41,84,-41
106,12,130,8,66,6,68,7,41,85,-41
118,11,136,6,75,7,84,10,41,85,-42
129,10,142,5,82,6,100,11,40,85,-42
142,9,150,5,89,6,118,13,40,87,-43
152,9,153,4,96,6,133,13,40,88,-45
159,8,159,4,102,6,147,13,40,88,-46
167,5,163,2,110,4,165,9,39,87,-48
167,5,163,2,110,4,165,9,39,87,-48
172,2,166,1,115,2,179,6,37,85,-49
172,1,166,1,118,2,186,6,36,84,-49
174,1,167,0,119,1,190,5,36,83,-49
177,0,168,0,122,0,199,2,34,78,-43
177,0,168,0,121,0,199,1,34,78,-42
178,0,168,0,122,0,200,0,34,79,-42
178,0,168,0,122,0,201,0,34,78,-40
178,0,168,0,122,0,201,0,34,78,-40
179,0,168,0,123,0,204,0,34,79,-40
7,0,169,0,123,0,205,1,34,79,-41
179,0,168,0,124,0,206,1,33,80,-42
179,0,169,0,125,0,207,1,33,81,-43
179,0,169,0,125,0,209,1,32,82,-45
179,0,169,0,126,0,210,1,32,83,-47
179,0,169,0,126,0,210,1,32,83,-47
179,0,169,0,126,0,211,0,31,84,-48
179,0,169,0,126,0,211,0,31,84,-48
179,0,168,0,125,0,210,0,30,85,-49
179,0,169,0,126,0,210,0,30,85,-49
178,0,169,0,126,0,210,0,30,86,-50
179,0,168,0,126,0,210,0,30,86,-49
179,0,168,0,125,0,210,0,30,85,-48
177,0,166,0,124,0,208,0,30,83,-47
176,0,165,0,122,0,206,0,30,81,-45
175,0,164,0,119,-1,202,-1,30,81,-44
174,-1,163,-1,116,-1,200,-2,29,82,-43
174,-1,163,-1,116,-1,200,-2,29,82,-43
171,-1,161,0,112,-2,193,-2,29,83,-43
170,-1,160,0,111,-2,189,-2,29,83,-42
168,-1,158,-1,109,-1,182,-3,30,82,-40
168,-1,158,-1,109,-1,182,-3,30,82,-40
162,-1,154,-1,107,-1,154,-7,30,84,-39
160,-2,154,-1,105,-1,147,-8,29,88,-41
159,-1,153,-1,104,-1,142,-8,29,91,-42
159,-1,153,0,104,0,135,-7,29,91,-41
158,0,153,0,104,0,125,-5,30,91,-41
158,0,153,0,103,0,108,-7,31,90,-40
155,0,152,0,102,0,91,-10,31,90,-40
149,-2,150,0,96,0,48,-10,31,89,-40
139,-3,138,-3,82,-4,26,-19,30,90,-41
119,-7,128,-5,69,-6,13,-19,29,91,-42
95,-12,117,-7,56,-9,6,-17,30,89,-41
71,-15,101,-9,44,-10,2,-9,30,87,-39
48,-18,82,-9,34,-10,-1,-9,31,86,-38
30,-17,63,-13,27,-8,-3,-3,31,85,-38
18,-15,46,-14,21,-7,-4,-2,31,85,-37
11,-12,31,-14,16,-5,-4,-1,32,86,-36
7,-8,21,-12,13,-4,-5,0,32,87,-37
1,-3,9,-7,9,-2,-5,0,33,90,-37
1,-3,9,-7,9,-2,-5,0,33,90,-37
-3,-2,1,-4,5,-1,-5,0,35,92,-37
-5,-1,-2,-3,4,-1,-5,0,35,92,-38
-6,-1,-4,-3,3,-1,-5,0,35,93,-38
-7,-1,-6,-2,1,-1,-5,0,35,93,-39
-8,-1,-7,-1,0,-1,-5,0,36,94,-39
-8,0,-8,-1,-1,-1,-5,0,35,93,-39
-9,0,-10,-1,-1,0,-5,0,35,92,-38
-9,0,-11,-1,-2,0,-5,0,35,91,-37
-9,0,-11,-1,-2,0,-5,0,35,91,-37
-10,0,-14,-1,-3,0,-5,0,36,89,-36
-11,0,-15,-1,-4,0,-5,0,36,89,-35
-11,0,-17,-1,-5,0,-5,0,36,89,-34
-11,0,-17,-1,-5,0,-5,0,36,89,-34
-13,0,-19,-1,-6,0,-5,0,36,88,-33
-13,0,-19,-1,-6,0,-5,0,36,88,-33
-15,0,-22,-1,-7,0,-5,0,36,88,-33
-16,0,-23,-1,-8,0,-5,0,36,88,-33
-16,0,-24,-1,-9,0,-5,0,36,88,-33
-16,0,-24,-1,-9,0,-5,0,36,88,-33
-19,0,-27,-1,-9,0,-5,0,36,88,-33
-19,0,-27,-1,-9,0,-5,0,36,88,-33
-21,-1,-29,-1,-10,0,-5,0,36,88,-34
-22,-1,-31,-1,-11,0,-5,0,36,89,-34
-24,-1,-33,-1,-11,0,-6,0,36,88,-34
-26,-1,-35,-1,-12,0,-5,0,36,88,-34
-28,-1,-37,-1,-12,0,-5,0,36,88,-34
-29,-1,-39,-1,-12,0,-5,0,36,88,-34
-32,-1,-42,-1,-13,0,-6,0,36,88,-34
-33,-1,-42,-1,-14,0,-5,0,37,88,-34
-34,-1,-43,0,-15,0,-5,0,37,89,-34
-35,0,-44,0,-15,0,-6,0,37,89,-34
-36,0,-44,0,-15,0,-6,0,36,89,-34
-36,0,-44,0,-15,0,-6,0,36,89,-34
-37,0,-44,0,-15,0,-5,0,36,89,-34
-38,0,-44,0,-16,0,-6,0,36,89,-34
-39,0,-45,0,-16,0,-6,0,36,89,-34
-40,0,-43,0,-16,0,-6,0,36,89,-35
-40,0,-41,0,-16,0,-6,0,36,89,-35
